rep,crossover_log,crossover_gdp
45,10.41965233261029,33511.78116679886
46,9.98831394429518,21770.561456989584
47,9.446540505123888,12664.277389760242
48,10.03223449345508,22748.04515547063
49,9.962106280504884,21207.417478024196
50,9.60033651056811,14769.750906680943
51,9.771496610701279,17526.978663135746
52,9.693712181669238,16215.326945170664
53,9.201070208206298,9907.726717320464
54,10.17439978468613,26223.199752825225
55,10.199711207836081,26895.417766742026
56,10.698995570395093,44311.325163606234
57,8.984155764085196,7975.708502016334
58,9.633855171340189,15273.203571656963
59,9.926086928189138,20457.133523282428
60,9.150392184892777,9418.133304156207
61,9.951739800223024,20988.706791540535
62,10.542091363858388,37876.69763518904
63,9.927033302943693,20476.50280185192
64,9.802459719838804,18078.157486829514
65,9.616414155859731,15009.132915841108
66,9.735745963782607,16911.44623700116
67,9.52219663107396,13659.583348340186
68,9.36810139187003,11708.863427269967
69,10.18473427835165,26495.608422925452
70,9.588862046355754,14601.244537466757
71,9.008447723020467,8171.826486444008
72,10.23398038032486,27833.076103142288
73,9.852144368746337,18999.052125002094
74,9.31316389143212,11082.95799170224
75,9.54714431562874,14004.644668730876
76,9.773952089921973,17570.068676710613
77,8.685640741979894,5917.330765421725
78,9.62181083619837,15090.351366237068
79,10.479826133266021,35590.21904864595
80,9.277052551471453,10689.877572966801
81,10.910261278943699,54735.144577495856
82,9.433196328504767,12496.405582072384
83,9.664322520073659,15745.69888155957
84,9.619063715448426,15048.953237738695
85,10.324119848378238,30458.483797697074
86,10.341331671225982,30987.267436045287
87,8.995293764436205,8065.038501409066
88,8.97094742372801,7871.055298578192
89,9.652039594112322,15553.478558673269
90,9.98115819851607,21615.332904134502
91,9.820747272358194,18411.804233997336
92,10.991615833264783,59374.245463009895
93,10.169245831159822,26088.39428894169
94,9.05961088060142,8600.803263405622
95,9.557124145747633,14145.108379574447
96,9.419434164456518,12325.605980246413
97,9.841142820429143,18791.178696494728
98,9.981487258153383,21622.44680812547
99,9.534316254388996,13826.139614046118
100,9.383519007485571,11890.784977561801
101,9.871471613970293,19369.82291192591
102,9.30642596689817,11008.532874126533
103,9.958558283866942,21132.306956843735
104,9.307406943151143,11019.337282023482
105,8.732120864903166,6198.861126606111
106,10.18026292746952,26377.401729574278
107,9.425786055896879,12404.146066351805
108,8.099411720552691,3292.530577376312
109,9.391239476979834,11982.94271297669
110,10.301798141652199,29786.1304095409
111,9.253873979539284,10444.950966570404
112,9.474505246407421,13023.429016458835
113,9.649793711151899,15518.586462651272
114,9.455487446957994,12778.092331551106
115,10.37409374747203,32019.2879126189
116,10.090082011895715,24102.769066318266
117,9.820879939607709,18414.247039460228
118,9.294242208610045,10875.221337355513
119,9.505024078289216,13427.016034754623
120,9.72347432533876,16705.18326400797
121,9.525428955605285,13703.806988759847
122,9.609745421520044,14909.373998322204
123,10.326032680552368,30516.80152371014
124,9.729197279896917,16801.060357155133
125,9.429250172604185,12447.189987519065
126,10.55299117389298,38291.80462807981
127,8.766305274178556,6414.42907198887
128,9.552611571888114,14081.421337574468
129,9.477100678373537,13057.274343058609
130,9.481946389685323,13120.699671352213
131,9.77470793201131,17583.353894259817
132,10.07787914743308,23810.43353528809
133,9.299122455692055,10928.424822034045
134,10.144035719426693,25438.92396094115
135,9.04295081316397,8458.700310213264
136,9.840241049449144,18774.240994977903
137,10.472268169029315,35322.24339672244
138,9.87570365380567,19451.970477371753
139,9.040280233538983,8436.140814383749
140,9.414941989277608,12270.361376117948
141,9.163467553531296,9542.087476258903
142,9.948593636826722,20922.776658366383
143,9.843034728792917,18826.76353564909
144,8.743235352209545,6268.142590684291
145,9.869095398654686,19323.850683649915
146,10.666977355332428,42915.02837455369
147,9.508825420400413,13478.153850822804
