iso3c,coef,se
ITA,0.016779110103191434,0.007443361668596589
CIV,0.017036488430546178,0.0074244974094619266
JAM,0.017725033808373262,0.007469428905207273
JPN,0.016790923622286912,0.007427632422352088
JOR,0.017057235383180488,0.007422353967255054
KAZ,0.017191462182090576,0.0074189345115207575
KEN,0.017097974940026253,0.0074234098031589054
KWT,0.01736483504495274,0.007451565744806569
KGZ,0.017178651481217014,0.0074212362218650345
LAO,0.01698602538406332,0.007414789871079191
LVA,0.017075825940565774,0.007421442825214614
LBN,0.017091632992169547,0.007423466714805856
LSO,0.019081222467262623,0.007749870921028707
LBR,0.017829094758090875,0.007359762630717262
LBY,0.017089139202137234,0.007413618231341496
LTU,0.017896563824299907,0.007452486892477186
LUX,0.017071301199304757,0.007397134218356788
MDG,0.017239871225186023,0.007446161093362162
MWI,0.016881495547924154,0.0074331986248238205
MYS,0.017358821869134327,0.007417005679509821
MDV,0.017071301199304757,0.007397134218356788
MLI,0.017400673830261316,0.007407519971014539
MLT,0.017071301199304757,0.007397134218356788
MRT,0.016990998428958404,0.007425344901890377
MUS,0.01676236590019001,0.00738304940394322
MEX,0.016991086211242044,0.007435821774384492
MDA,0.016812002581804545,0.007387810447267441
MNG,0.017240563812651304,0.007419909824532176
MAR,0.016934110086599223,0.0073971077057158946
MOZ,0.016525284530528827,0.007434487308463952
NAM,0.01727906838868665,0.007418391616316265
NPL,0.01372889898357308,0.007589472620451118
NLD,0.016718552896700177,0.0074622360068309765
NZL,0.016832901628115446,0.007421337454092609
NIC,0.01755237791352986,0.007322352042588562
NER,0.017122707326642315,0.007441191918825781
NGA,0.017074109718418225,0.007422887628800125
MKD,0.01699639591340381,0.0074190448761559304
NOR,0.016782124046360612,0.007501288611643334
OMN,0.01726104632298128,0.007424996073178424
PAK,0.01702050921770371,0.007413309070360699
PAN,0.017657482021002487,0.007422736932814087
PRY,0.01718914182733148,0.007418577241124694
PER,0.01649590547403782,0.007397440286359347
PHL,0.017059282517457485,0.007422867916232258
POL,0.015088018475891763,0.007280329086404471
PRT,0.017269620244329664,0.007396065313013753
QAT,0.017071301199304757,0.007397134218356788
COG,0.016951302481404133,0.007416177576340754
ROU,0.016789395368814106,0.007439439494856842
RUS,0.01705966317883901,0.007427995088111868
RWA,0.01601895059094389,0.007409611471987715
SAU,0.017282341491727023,0.007427269877817923
SEN,0.017043384279832905,0.007414390120285518
SLE,0.017332929090415245,0.0074187709272371056
SGP,0.017834687711751514,0.007639294641118061
SVK,0.017016241750156254,0.007411337780222214
SVN,0.017153834400577782,0.007430619593786023
SLB,0.017071301199304757,0.007397134218356788
SOM,0.016564003607792987,0.007467104774038601
ZAF,0.017211881245330442,0.007424437873799033
KOR,0.01679143479343763,0.007474327947785501
ESP,0.016995015240709798,0.007433083336401338
LKA,0.0170039237303472,0.007407955636367829
SDN,0.017071301199304757,0.007397134218356788
SUR,0.017071301199304757,0.007397134218356788
SWE,0.016725639961746395,0.00744218014577699
CHE,0.016972429394683124,0.007477672127819662
SYR,0.01681971572512022,0.007415039527165648
TJK,0.016503487368742697,0.0074295900129389405
TZA,0.016907941115371583,0.007417973243960459
THA,0.016992908481139827,0.007323116224749397
GMB,0.01823314268291471,0.007268890987084625
TLS,0.017071301199304757,0.007397134218356788
TGO,0.016993353955468235,0.007429757567386938
TTO,0.01698087148135132,0.007421568340749809
TUN,0.016737085744906996,0.006761284601789676
TKM,0.01687045330840369,0.007406500645651039
TUR,0.017817275584836676,0.007151112495979229
UGA,0.016685746377445413,0.007421199276615858
UKR,0.0170133525437161,0.00742246522321587
ARE,0.01719669285741848,0.007445786308969512
GBR,0.01683137034095274,0.007436657734087243
USA,0.017085189080394424,0.007519147811599254
URY,0.01779225372809868,0.0074518257376928005
UZB,0.01683129401083083,0.007421148834441274
VUT,0.017071301199304757,0.007397134218356788
VNM,0.01690665065346657,0.0074124493679454855
