country_name,iso3c,volatility,mean_democracy,n_years,total_decline,avg_decline,n_declines,had_backsliding,n_episodes
Guinea,GIN,0.027181782332660633,0.11504166666666667,48,0.14700000000000002,0.0147,10,FALSE,0
Guinea-Bissau,GNB,0.049654731811825836,0.263875,24,0.3620000000000001,0.04525000000000001,8,TRUE,0
Guyana,GUY,0.03964623910741495,0.38345833333333335,24,0.15100000000000002,0.01372727272727273,11,TRUE,0
Haiti,HTI,0.06113774836680133,0.22054166666666666,24,0.42000000000000004,0.024705882352941178,17,TRUE,0
Honduras,HND,0.05028786697820252,0.28700000000000003,24,0.15500000000000005,0.015500000000000005,10,FALSE,0
Hong Kong,HKG,0.06187832848608537,0.2846666666666667,24,0.202,0.012625000000000003,16,TRUE,0
Hungary,HUN,0.17446886271759504,0.5869166666666666,24,0.463,0.025722222222222223,18,TRUE,0
Iceland,ISL,0.01446209438197123,0.7817500000000001,24,0.08800000000000008,0.008000000000000007,11,FALSE,0
India,IND,0.11442691959297091,0.47470833333333334,24,0.32699999999999996,0.021799999999999996,15,TRUE,0
Indonesia,IDN,0.05388660598282125,0.495875,24,0.20400000000000007,0.015692307692307696,13,FALSE,0
Iran,IRN,0.01984245010292218,0.119375,24,0.10500000000000001,0.007000000000000001,15,FALSE,0
Iraq,IRQ,0.07236061063185201,0.21683333333333332,24,0.08399999999999996,0.007636363636363634,11,FALSE,0
Ireland,IRL,0.0074948049640584215,0.8214583333333333,24,0.02300000000000002,0.004600000000000004,5,FALSE,0
Israel,ISR,0.022888988555666855,0.6674166666666667,24,0.10799999999999998,0.008307692307692306,13,FALSE,0
Italy,ITA,0.01636273603144606,0.774,24,0.09700000000000009,0.01212500000000001,8,FALSE,0
Ivory Coast,CIV,0.03957104691088155,0.29704166666666665,24,0.14999999999999997,0.014999999999999996,10,TRUE,0
Jamaica,JAM,0.043402314103803456,0.6577500000000001,24,0.038999999999999924,0.007799999999999985,5,FALSE,0
Japan,JPN,0.015574447206790418,0.7629583333333333,24,0.06300000000000006,0.009000000000000008,7,FALSE,0
Jordan,JOR,0.03567932864774256,0.20833333333333334,24,0.035,0.011666666666666669,3,FALSE,0
Kazakhstan,KAZ,0.008140077982747915,0.121,24,0.033000000000000015,0.0030000000000000014,11,FALSE,0
Kenya,KEN,0.057815799455396846,0.36766666666666664,24,0.08699999999999997,0.017399999999999992,5,TRUE,0
Kosovo,NA,0.08885988808312177,0.39258333333333334,24,0.11300000000000004,0.01255555555555556,9,FALSE,0
Kuwait,KWT,0.008826733930738918,0.28720833333333334,24,0.03799999999999998,0.003799999999999998,10,FALSE,0
Kyrgyzstan,KGZ,0.06739370320648702,0.23754166666666668,24,0.21000000000000005,0.015000000000000005,14,TRUE,0
Laos,LAO,0.008419697402390784,0.07825,24,0.031,0.010333333333333333,3,FALSE,0
Latvia,LVA,0.024710351055283748,0.7245833333333334,24,0.04699999999999993,0.005874999999999991,8,FALSE,0
Lebanon,LBN,0.035063270968557575,0.26295833333333335,24,0.07300000000000001,0.01042857142857143,7,FALSE,0
Lesotho,LSO,0.06681283342401315,0.4377083333333333,24,0.15400000000000003,0.022000000000000002,7,TRUE,0
Liberia,LBR,0.1256003553950478,0.3918333333333333,24,0.13500000000000006,0.011250000000000005,12,FALSE,0
Libya,LBY,0.07064526610600604,0.10366666666666667,24,0.202,0.016833333333333332,12,TRUE,0
Lithuania,LTU,0.016549442829624655,0.7623333333333333,24,0.09100000000000008,0.0075833333333333395,12,FALSE,0
